p1,p2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-36.48601207,0
24.92847414,0
247.7579464,0
0,0
0,0
0,0
0,0
0,0
0,0
42.11215637,0
4.645078426,0
238.951878,0
81.21362068,0
12.05975089,0
359.7872499,0
0,-86.06193834
0,-25.39077797
0,306.1012904
0,-35.12706051
0,-26.89151932
0,253.460056
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,58.49573328
0,-38.40128421
0,307.183984
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-149.5066416,0
128.345575,0
248.1773559,0
0,0
0,0
0,0
0,108.0616548
0,167.2985579
0,339.416435
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,-167.8377965
0,-111.8014095
0,268.2331076
0,0
0,0
0,0
0,0
0,0
0,0
-97.58114295,-124.2802178
-143.4612881,-143.718263
347.9784476,377.9272417
0,0
0,0
0,0
172.5546752,0
-105.6681604,0
195.5223772,0
119.9747784,0
-152.0263201,0
306.245,0
0,161.3126485
0,-160.083594
0,216.7994465